11,0,39,MH,2,[1. 1.]
1131,3832,37,DAMH,2,[1. 1.]
12,0,38,MH,3,[1. 1.]
1094,3887,19,DAMH,3,[1. 1.]
11,0,39,MH,4,[1. 1.]
1012,3905,83,DAMH,4,[1. 1.]
20,0,30,MH,5,[1. 1.]
1106,3849,45,DAMH,5,[1. 1.]
7,0,43,MH,6,[1. 1.]
1059,3919,22,DAMH,6,[1. 1.]
11,0,39,MH,2,[1. 1.]
1112,3843,45,ADAMH,2,[1. 1.]
12,0,38,MH,3,[1. 1.]
1123,3865,12,ADAMH,3,[1. 1.]
11,0,39,MH,4,[1. 1.]
1009,3894,97,ADAMH,4,[1. 1.]
20,0,30,MH,5,[1. 1.]
1115,3841,44,ADAMH,5,[1. 1.]
7,0,43,MH,6,[1. 1.]
1115,3870,15,ADAMH,6,[1. 1.]
11,0,39,MH,2,[1. 1.]
1132,3854,14,DAMHSMU,2,[1. 1.]
12,0,38,MH,3,[1. 1.]
1144,3849,7,DAMHSMU,3,[1. 1.]
11,0,39,MH,4,[1. 1.]
1123,3872,5,DAMHSMU,4,[1. 1.]
20,0,30,MH,5,[1. 1.]
1147,3851,2,DAMHSMU,5,[1. 1.]
7,0,43,MH,6,[1. 1.]
1113,3882,5,DAMHSMU,6,[1. 1.]
22,0,78,MH,2,[1. 1.]
1151,3835,14,DAMH,2,[1. 1.]
18,0,82,MH,3,[1. 1.]
1118,3874,8,DAMH,3,[1. 1.]
21,0,79,MH,4,[1. 1.]
1104,3889,7,DAMH,4,[1. 1.]
35,0,65,MH,5,[1. 1.]
1091,3902,7,DAMH,5,[1. 1.]
22,0,78,MH,6,[1. 1.]
1120,3879,1,DAMH,6,[1. 1.]
22,0,78,MH,2,[1. 1.]
1141,3856,3,ADAMH,2,[1. 1.]
18,0,82,MH,3,[1. 1.]
1118,3874,8,ADAMH,3,[1. 1.]
21,0,79,MH,4,[1. 1.]
1094,3900,6,ADAMH,4,[1. 1.]
35,0,65,MH,5,[1. 1.]
1085,3903,12,ADAMH,5,[1. 1.]
22,0,78,MH,6,[1. 1.]
1107,3889,4,ADAMH,6,[1. 1.]
22,0,78,MH,2,[1. 1.]
1147,3848,5,DAMHSMU,2,[1. 1.]
18,0,82,MH,3,[1. 1.]
1105,3890,5,DAMHSMU,3,[1. 1.]
21,0,79,MH,4,[1. 1.]
1125,3871,4,DAMHSMU,4,[1. 1.]
35,0,65,MH,5,[1. 1.]
1088,3907,5,DAMHSMU,5,[1. 1.]
22,0,78,MH,6,[1. 1.]
1107,3893,0,DAMHSMU,6,[1. 1.]
31,0,119,MH,2,[1. 1.]
1090,3890,20,DAMH,2,[1. 1.]
29,0,121,MH,3,[1. 1.]
1145,3854,1,DAMH,3,[1. 1.]
30,0,120,MH,4,[1. 1.]
1057,3941,2,DAMH,4,[1. 1.]
47,0,103,MH,5,[1. 1.]
1096,3890,14,DAMH,5,[1. 1.]
33,0,117,MH,6,[1. 1.]
1078,3919,3,DAMH,6,[1. 1.]
31,0,119,MH,2,[1. 1.]
1107,3873,20,ADAMH,2,[1. 1.]
29,0,121,MH,3,[1. 1.]
1119,3874,7,ADAMH,3,[1. 1.]
30,0,120,MH,4,[1. 1.]
1109,3886,5,ADAMH,4,[1. 1.]
47,0,103,MH,5,[1. 1.]
1063,3888,49,ADAMH,5,[1. 1.]
33,0,117,MH,6,[1. 1.]
1097,3900,3,ADAMH,6,[1. 1.]
31,0,119,MH,2,[1. 1.]
1079,3917,4,DAMHSMU,2,[1. 1.]
29,0,121,MH,3,[1. 1.]
1145,3854,1,DAMHSMU,3,[1. 1.]
30,0,120,MH,4,[1. 1.]
1102,3896,2,DAMHSMU,4,[1. 1.]
47,0,103,MH,5,[1. 1.]
1095,3900,5,DAMHSMU,5,[1. 1.]
33,0,117,MH,6,[1. 1.]
1126,3872,2,DAMHSMU,6,[1. 1.]
44,0,156,MH,2,[1. 1.]
1125,3871,4,DAMH,2,[1. 1.]
40,0,160,MH,3,[1. 1.]
1127,3866,7,DAMH,3,[1. 1.]
37,0,163,MH,4,[1. 1.]
1088,3907,5,DAMH,4,[1. 1.]
58,0,142,MH,5,[1. 1.]
1142,3856,2,DAMH,5,[1. 1.]
46,0,154,MH,6,[1. 1.]
1126,3869,5,DAMH,6,[1. 1.]
44,0,156,MH,2,[1. 1.]
1118,3877,5,ADAMH,2,[1. 1.]
40,0,160,MH,3,[1. 1.]
1147,3848,5,ADAMH,3,[1. 1.]
37,0,163,MH,4,[1. 1.]
1050,3942,8,ADAMH,4,[1. 1.]
58,0,142,MH,5,[1. 1.]
1155,3844,1,ADAMH,5,[1. 1.]
46,0,154,MH,6,[1. 1.]
1101,3898,1,ADAMH,6,[1. 1.]
44,0,156,MH,2,[1. 1.]
1099,3901,0,DAMHSMU,2,[1. 1.]
40,0,160,MH,3,[1. 1.]
1148,3851,1,DAMHSMU,3,[1. 1.]
37,0,163,MH,4,[1. 1.]
1104,3895,1,DAMHSMU,4,[1. 1.]
58,0,142,MH,5,[1. 1.]
1137,3859,4,DAMHSMU,5,[1. 1.]
46,0,154,MH,6,[1. 1.]
1111,3885,4,DAMHSMU,6,[1. 1.]
54,0,196,MH,2,[1. 1.]
1147,3853,0,DAMH,2,[1. 1.]
52,0,198,MH,3,[1. 1.]
1131,3868,1,DAMH,3,[1. 1.]
52,0,198,MH,3,[1. 1.]
1131,3868,1,DAMH,3,[1. 1.]
74,0,176,MH,5,[1. 1.]
1155,3845,0,DAMH,5,[1. 1.]
61,0,189,MH,6,[1. 1.]
1114,3882,4,DAMH,6,[1. 1.]
54,0,196,MH,2,[1. 1.]
1159,3841,0,ADAMH,2,[1. 1.]
52,0,198,MH,3,[1. 1.]
1120,3879,1,ADAMH,3,[1. 1.]
49,0,201,MH,4,[1. 1.]
1105,3892,3,ADAMH,4,[1. 1.]
74,0,176,MH,5,[1. 1.]
1117,3883,0,ADAMH,5,[1. 1.]
61,0,189,MH,6,[1. 1.]
1114,3882,4,ADAMH,6,[1. 1.]
54,0,196,MH,2,[1. 1.]
1147,3853,0,DAMHSMU,2,[1. 1.]
52,0,198,MH,3,[1. 1.]
1132,3868,0,DAMHSMU,3,[1. 1.]
49,0,201,MH,4,[1. 1.]
1119,3881,0,DAMHSMU,4,[1. 1.]
74,0,176,MH,5,[1. 1.]
1155,3845,0,DAMHSMU,5,[1. 1.]
61,0,189,MH,6,[1. 1.]
1103,3894,3,DAMHSMU,6,[1. 1.]
8,0,17,MH,2,[1. 1.]
947,3763,290,DAMH,2,[1. 1.]
7,0,18,MH,3,[1. 1.]
988,3918,94,DAMH,3,[1. 1.]
6,0,19,MH,4,[1. 1.]
1035,3894,71,DAMH,4,[1. 1.]
12,0,13,MH,5,[1. 1.]
1095,3851,54,DAMH,5,[1. 1.]
2,0,23,MH,6,[1. 1.]
1023,3911,66,DAMH,6,[1. 1.]
8,0,17,MH,2,[1. 1.]
950,3769,281,ADAMH,2,[1. 1.]
7,0,18,MH,3,[1. 1.]
1091,3833,76,ADAMH,3,[1. 1.]
6,0,19,MH,4,[1. 1.]
983,3910,107,ADAMH,4,[1. 1.]
12,0,13,MH,5,[1. 1.]
1084,3879,37,ADAMH,5,[1. 1.]
2,0,23,MH,6,[1. 1.]
1060,3895,45,ADAMH,6,[1. 1.]
8,0,17,MH,2,[1. 1.]
1105,3888,7,DAMHSMU,2,[1. 1.]
7,0,18,MH,3,[1. 1.]
1134,3859,7,DAMHSMU,3,[1. 1.]
6,0,19,MH,4,[1. 1.]
1138,3853,9,DAMHSMU,4,[1. 1.]
12,0,13,MH,5,[1. 1.]
1134,3863,3,DAMHSMU,5,[1. 1.]
2,0,23,MH,6,[1. 1.]
1134,3863,3,DAMHSMU,6,[1. 1.]
17,0,58,MH,2,[1. 1.]
1147,3842,11,DAMH,2,[1. 1.]
15,0,60,MH,3,[1. 1.]
1132,3844,24,DAMH,3,[1. 1.]
17,0,58,MH,4,[1. 1.]
1065,3926,9,DAMH,4,[1. 1.]
29,0,46,MH,5,[1. 1.]
1142,3845,13,DAMH,5,[1. 1.]
12,0,63,MH,6,[1. 1.]
1129,3867,4,DAMH,6,[1. 1.]
17,0,58,MH,2,[1. 1.]
1096,3888,16,ADAMH,2,[1. 1.]
15,0,60,MH,3,[1. 1.]
1123,3844,33,ADAMH,3,[1. 1.]
17,0,58,MH,4,[1. 1.]
1055,3937,8,ADAMH,4,[1. 1.]
29,0,46,MH,5,[1. 1.]
1100,3890,10,ADAMH,5,[1. 1.]
12,0,63,MH,6,[1. 1.]
1123,3872,5,ADAMH,6,[1. 1.]
17,0,58,MH,2,[1. 1.]
1154,3843,3,DAMHSMU,2,[1. 1.]
15,0,60,MH,3,[1. 1.]
1163,3830,7,DAMHSMU,3,[1. 1.]
17,0,58,MH,4,[1. 1.]
1075,3921,4,DAMHSMU,4,[1. 1.]
29,0,46,MH,5,[1. 1.]
1158,3835,7,DAMHSMU,5,[1. 1.]
12,0,63,MH,6,[1. 1.]
1120,3879,1,DAMHSMU,6,[1. 1.]
3,0,7,MH,2,[1. 1.]
771,3706,523,DAMH,2,[1. 1.]
3,0,7,MH,3,[1. 1.]
845,3865,290,DAMH,3,[1. 1.]
4,0,6,MH,4,[1. 1.]
975,3925,100,DAMH,4,[1. 1.]
6,0,4,MH,5,[1. 1.]
1017,3747,236,DAMH,5,[1. 1.]
2,0,8,MH,6,[1. 1.]
957,3895,148,DAMH,6,[1. 1.]
3,0,7,MH,2,[1. 1.]
820,3764,416,ADAMH,2,[1. 1.]
3,0,7,MH,3,[1. 1.]
969,3903,128,ADAMH,3,[1. 1.]
4,0,6,MH,4,[1. 1.]
1027,3912,61,ADAMH,4,[1. 1.]
6,0,4,MH,5,[1. 1.]
1036,3700,264,ADAMH,5,[1. 1.]
2,0,8,MH,6,[1. 1.]
999,3875,126,ADAMH,6,[1. 1.]
3,0,7,MH,2,[1. 1.]
1115,3877,8,DAMHSMU,2,[1. 1.]
3,0,7,MH,3,[1. 1.]
1091,3901,8,DAMHSMU,3,[1. 1.]
4,0,6,MH,4,[1. 1.]
1093,3903,4,DAMHSMU,4,[1. 1.]
6,0,4,MH,5,[1. 1.]
1142,3846,12,DAMHSMU,5,[1. 1.]
2,0,8,MH,6,[1. 1.]
1147,3839,14,DAMHSMU,6,[1. 1.]
